"","Kw","AnzahlFall","AnzahlTodesfall"
"1",9,57,0
"2",10,460,1
"3",11,3589,9
"4",12,11329,34
"5",13,15216,97
"6",14,14583,85
"7",15,10454,78
"8",16,6298,48
"9",17,4291,20
"10",18,2587,16
"11",19,2305,10
"12",20,1777,7
"13",21,1284,6
"14",22,1146,4
"15",23,784,4
"16",24,775,4
"17",25,1754,8
"18",26,1284,3
"19",27,999,3
"20",28,861,3
"21",29,1122,2
"22",30,1548,2
"23",31,1841,4
"24",32,2186,3
"25",33,2653,2
"26",34,3162,5
"27",35,2874,3
"28",36,2851,3
"29",37,3304,8
"30",38,4285,2
"31",39,4626,5
"32",40,5716,8
"33",41,9868,11
"34",42,15705,26
"35",43,28693,42
"36",44,43108,70
"37",45,48456,82
"38",46,48761,90
"39",47,49206,106
"40",48,46799,115
"41",49,48124,127
"42",50,59289,148
"43",51,66582,189
"44",52,53147,157
"45",53,46282,159
"46",54,53923,152
"47",55,43371,121
"48",56,35575,109
"49",57,29295,89
"50",58,24345,72
"51",59,19430,71
"52",60,20186,61
"53",61,21960,63
"54",62,22720,69
"55",63,27901,101
"56",64,35893,111
"57",65,45147,145
"58",66,43374,141
"59",67,47165,157
"60",68,53942,168
"61",69,55439,184
"62",70,48716,133
"63",71,38976,102
"64",72,26856,61
"65",73,19155,36
"66",74,10693,19
"67",75,7209,23
"68",76,4668,11
"69",77,2347,5
"70",78,1532,4
"71",79,1320,2
"72",80,1585,4
"73",81,2400,2
"74",82,3487,3
"75",83,4453,6
"76",84,5936,1
"77",85,7058,1
