"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",8,9,20,0
"2",8,10,208,5
"3",8,11,1322,28
"4",8,12,4429,132
"5",8,13,7149,334
"6",8,14,7440,488
"7",8,15,5236,361
"8",8,16,3183,221
"9",8,17,2405,132
"10",8,18,1205,60
"11",8,19,897,40
"12",8,20,613,25
"13",8,21,402,29
"14",8,22,311,8
"15",8,23,179,8
"16",8,24,169,2
"17",8,25,188,3
"18",8,26,267,2
"19",8,27,211,4
"20",8,28,251,2
"21",8,29,379,4
"22",8,30,483,8
"23",8,31,500,0
"24",8,32,451,1
"25",8,33,776,3
"26",8,34,1676,2
"27",8,35,1771,2
"28",8,36,1700,4
"29",8,37,1624,7
"30",8,38,1915,8
"31",8,39,1797,16
"32",8,40,2027,21
"33",8,41,3755,44
"34",8,42,5804,72
"35",8,43,10024,137
"36",8,44,14588,195
"37",8,45,16722,215
"38",8,46,15939,343
"39",8,47,16449,411
"40",8,48,15233,432
"41",8,49,17433,511
"42",8,50,21591,659
"43",8,51,23891,709
"44",8,52,17570,577
"45",8,53,14944,551
"46",8,54,15971,487
"47",8,55,13442,440
"48",8,56,10189,315
"49",8,57,8527,217
"50",8,58,6859,158
"51",8,59,5495,117
"52",8,60,5073,108
"53",8,61,5931,106
"54",8,62,6860,86
"55",8,63,8682,94
"56",8,64,11714,132
"57",8,65,14609,158
"58",8,66,13770,177
"59",8,67,15821,166
"60",8,68,19448,169
"61",8,69,22178,178
"62",8,70,20682,170
"63",8,71,16386,130
"64",8,72,11440,71
"65",8,73,8950,45
"66",8,74,4884,35
"67",8,75,3376,25
"68",8,76,2684,12
"69",8,77,1416,5
"70",8,78,832,4
"71",8,79,620,4
"72",8,80,734,2
"73",8,81,1115,0
"74",8,82,1434,3
"75",8,83,1713,1
"76",8,84,1979,2
"77",8,85,2426,1
