"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",9,9,9,0
"2",9,10,132,1
"3",9,11,1106,18
"4",9,12,4854,128
"5",9,13,9239,466
"6",9,14,10882,666
"7",9,15,7594,518
"8",9,16,4723,366
"9",9,17,3063,197
"10",9,18,1745,105
"11",9,19,1285,67
"12",9,20,1090,48
"13",9,21,766,25
"14",9,22,621,13
"15",9,23,311,11
"16",9,24,269,3
"17",9,25,268,6
"18",9,26,365,7
"19",9,27,460,1
"20",9,28,505,2
"21",9,29,524,5
"22",9,30,715,1
"23",9,31,683,2
"24",9,32,706,3
"25",9,33,1270,1
"26",9,34,2104,3
"27",9,35,2161,5
"28",9,36,2247,2
"29",9,37,2653,15
"30",9,38,2925,16
"31",9,39,2285,19
"32",9,40,2320,15
"33",9,41,3686,38
"34",9,42,6637,60
"35",9,43,12216,85
"36",9,44,18915,264
"37",9,45,23704,354
"38",9,46,24862,430
"39",9,47,24200,610
"40",9,48,24407,731
"41",9,49,24272,771
"42",9,50,28103,1029
"43",9,51,29345,1019
"44",9,52,22475,873
"45",9,53,21765,914
"46",9,54,22421,836
"47",9,55,18961,729
"48",9,56,14505,522
"49",9,57,12323,401
"50",9,58,10190,282
"51",9,59,7766,203
"52",9,60,7793,191
"53",9,61,8869,148
"54",9,62,9688,137
"55",9,63,11870,151
"56",9,64,14941,166
"57",9,65,18566,210
"58",9,66,17796,237
"59",9,67,20809,221
"60",9,68,25095,202
"61",9,69,23880,237
"62",9,70,19270,185
"63",9,71,15743,134
"64",9,72,11146,88
"65",9,73,7863,72
"66",9,74,4854,42
"67",9,75,3233,16
"68",9,76,2656,9
"69",9,77,1348,10
"70",9,78,931,4
"71",9,79,761,2
"72",9,80,987,3
"73",9,81,1464,5
"74",9,82,1818,4
"75",9,83,1941,7
"76",9,84,2174,4
"77",9,85,2631,0
