"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",11,9,1,0
"2",11,10,36,0
"3",11,11,256,0
"4",11,12,846,8
"5",11,13,1380,27
"6",11,14,1230,46
"7",11,15,923,47
"8",11,16,572,21
"9",11,17,437,24
"10",11,18,347,24
"11",11,19,249,4
"12",11,20,197,4
"13",11,21,180,6
"14",11,22,189,0
"15",11,23,189,3
"16",11,24,337,3
"17",11,25,511,2
"18",11,26,315,1
"19",11,27,265,6
"20",11,28,190,3
"21",11,29,131,0
"22",11,30,220,0
"23",11,31,331,0
"24",11,32,382,0
"25",11,33,542,0
"26",11,34,468,3
"27",11,35,482,0
"28",11,36,530,1
"29",11,37,582,0
"30",11,38,842,0
"31",11,39,1091,3
"32",11,40,1554,7
"33",11,41,2408,9
"34",11,42,3354,9
"35",11,43,4923,46
"36",11,44,6270,89
"37",11,45,7157,93
"38",11,46,8456,121
"39",11,47,8417,134
"40",11,48,7738,202
"41",11,49,7058,223
"42",11,50,7481,243
"43",11,51,8336,299
"44",11,52,6558,255
"45",11,53,5108,231
"46",11,54,7082,268
"47",11,55,6029,234
"48",11,56,4035,163
"49",11,57,3163,94
"50",11,58,2649,110
"51",11,59,2142,60
"52",11,60,2129,43
"53",11,61,2475,45
"54",11,62,2665,47
"55",11,63,2845,37
"56",11,64,3808,32
"57",11,65,5412,28
"58",11,66,4964,44
"59",11,67,4304,39
"60",11,68,5669,39
"61",11,69,5165,30
"62",11,70,4496,30
"63",11,71,3671,13
"64",11,72,2518,10
"65",11,73,2038,7
"66",11,74,1193,1
"67",11,75,998,5
"68",11,76,560,2
"69",11,77,283,2
"70",11,78,251,3
"71",11,79,198,1
"72",11,80,298,0
"73",11,81,647,1
"74",11,82,932,0
"75",11,83,1084,0
"76",11,84,1509,0
"77",11,85,2105,2
