"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",12,9,2,0
"2",12,10,6,0
"3",12,11,99,0
"4",12,12,290,2
"5",12,13,427,12
"6",12,14,612,57
"7",12,15,587,40
"8",12,16,405,22
"9",12,17,327,20
"10",12,18,231,10
"11",12,19,124,3
"12",12,20,62,1
"13",12,21,38,0
"14",12,22,33,2
"15",12,23,16,0
"16",12,24,32,1
"17",12,25,73,0
"18",12,26,40,0
"19",12,27,42,1
"20",12,28,20,0
"21",12,29,26,0
"22",12,30,61,0
"23",12,31,33,0
"24",12,32,68,1
"25",12,33,63,0
"26",12,34,102,0
"27",12,35,68,0
"28",12,36,60,0
"29",12,37,81,1
"30",12,38,88,0
"31",12,39,133,1
"32",12,40,236,3
"33",12,41,412,7
"34",12,42,748,15
"35",12,43,1253,22
"36",12,44,1997,35
"37",12,45,2244,50
"38",12,46,2318,55
"39",12,47,3113,78
"40",12,48,3186,119
"41",12,49,3650,137
"42",12,50,4804,194
"43",12,51,6578,335
"44",12,52,5489,265
"45",12,53,5812,330
"46",12,54,8071,380
"47",12,55,6660,328
"48",12,56,4991,271
"49",12,57,3310,162
"50",12,58,2296,114
"51",12,59,1904,82
"52",12,60,1593,75
"53",12,61,1616,40
"54",12,62,1601,33
"55",12,63,2042,59
"56",12,64,2842,55
"57",12,65,3598,75
"58",12,66,3399,63
"59",12,67,3130,63
"60",12,68,3557,63
"61",12,69,3209,42
"62",12,70,2655,36
"63",12,71,2204,23
"64",12,72,1513,17
"65",12,73,1173,8
"66",12,74,503,7
"67",12,75,334,1
"68",12,76,174,0
"69",12,77,92,0
"70",12,78,62,0
"71",12,79,57,0
"72",12,80,97,1
"73",12,81,158,0
"74",12,82,138,1
"75",12,83,220,0
"76",12,84,330,0
"77",12,85,424,0
