"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",4,9,1,0
"2",4,10,3,0
"3",4,11,51,0
"4",4,12,113,1
"5",4,13,119,4
"6",4,14,103,11
"7",4,15,91,7
"8",4,16,114,6
"9",4,17,194,4
"10",4,18,146,3
"11",4,19,165,7
"12",4,20,125,3
"13",4,21,84,1
"14",4,22,125,1
"15",4,23,99,3
"16",4,24,60,2
"17",4,25,55,4
"18",4,26,14,0
"19",4,27,18,0
"20",4,28,11,0
"21",4,29,30,2
"22",4,30,27,0
"23",4,31,35,0
"24",4,32,22,0
"25",4,33,41,1
"26",4,34,59,0
"27",4,35,86,0
"28",4,36,79,0
"29",4,37,64,0
"30",4,38,82,0
"31",4,39,151,0
"32",4,40,247,2
"33",4,41,457,3
"34",4,42,504,3
"35",4,43,803,13
"36",4,44,1359,14
"37",4,45,1397,19
"38",4,46,1125,14
"39",4,47,996,22
"40",4,48,780,10
"41",4,49,759,13
"42",4,50,907,18
"43",4,51,889,30
"44",4,52,602,21
"45",4,53,558,11
"46",4,54,608,7
"47",4,55,582,20
"48",4,56,504,20
"49",4,57,562,26
"50",4,58,566,13
"51",4,59,419,14
"52",4,60,507,23
"53",4,61,580,22
"54",4,62,425,13
"55",4,63,522,7
"56",4,64,702,11
"57",4,65,941,8
"58",4,66,809,12
"59",4,67,904,7
"60",4,68,1131,7
"61",4,69,1048,9
"62",4,70,872,8
"63",4,71,663,3
"64",4,72,418,2
"65",4,73,347,4
"66",4,74,211,1
"67",4,75,167,1
"68",4,76,98,0
"69",4,77,43,0
"70",4,78,47,2
"71",4,79,52,0
"72",4,80,67,0
"73",4,81,83,0
"74",4,82,115,0
"75",4,83,168,0
"76",4,84,167,1
"77",4,85,188,0
