"","Kw","AnzahlFall","AnzahlTodesfall"
"1",9,139,0
"2",10,898,12
"3",11,6431,84
"4",12,22393,476
"5",13,33969,1463
"6",14,36052,2267
"7",15,27137,1875
"8",16,17334,1220
"9",17,12346,725
"10",18,7434,387
"11",19,6237,257
"12",20,4764,164
"13",21,3598,112
"14",22,3204,64
"15",23,2351,45
"16",24,2341,33
"17",25,4190,41
"18",26,3153,23
"19",27,2688,26
"20",28,2427,25
"21",29,3022,30
"22",30,3926,33
"23",31,4831,36
"24",32,6058,32
"25",33,7951,31
"26",34,9600,31
"27",35,8820,18
"28",36,8618,36
"29",37,9763,68
"30",38,12290,81
"31",39,13062,109
"32",40,15924,122
"33",41,26111,245
"34",42,42065,464
"35",43,74871,1010
"36",44,111028,1618
"37",45,125766,1887
"38",46,127786,2519
"39",47,128379,3203
"40",48,123213,3576
"41",49,128395,4448
"42",50,156302,5729
"43",51,174730,6409
"44",52,138990,5674
"45",53,123086,5671
"46",54,145469,5677
"47",55,118930,5031
"48",56,95530,4034
"49",57,78114,3054
"50",58,64571,2227
"51",59,50802,1669
"52",60,52406,1465
"53",61,56356,1203
"54",62,58368,1041
"55",63,71307,1085
"56",64,92595,1260
"57",65,116274,1495
"58",66,110102,1555
"59",67,118251,1550
"60",68,142025,1598
"61",69,144752,1577
"62",70,124849,1263
"63",71,101010,971
"64",72,70861,642
"65",73,52748,424
"66",74,29893,251
"67",75,20706,134
"68",76,14031,64
"69",77,7257,40
"70",78,4808,28
"71",79,4342,20
"72",80,5558,22
"73",81,9064,18
"74",82,12594,25
"75",83,15453,33
"76",84,20277,20
"77",85,23176,8
