"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",2,9,2,0
"2",2,10,21,1
"3",2,11,316,3
"4",2,12,935,8
"5",2,13,1073,43
"6",2,14,910,69
"7",2,15,755,59
"8",2,16,443,40
"9",2,17,291,23
"10",2,18,138,7
"11",2,19,94,9
"12",2,20,49,3
"13",2,21,25,1
"14",2,22,17,0
"15",2,23,27,0
"16",2,24,24,0
"17",2,25,31,0
"18",2,26,48,0
"19",2,27,23,1
"20",2,28,14,0
"21",2,29,17,0
"22",2,30,91,1
"23",2,31,115,0
"24",2,32,279,1
"25",2,33,189,1
"26",2,34,185,1
"27",2,35,203,0
"28",2,36,269,2
"29",2,37,319,2
"30",2,38,399,1
"31",2,39,509,2
"32",2,40,639,9
"33",2,41,688,3
"34",2,42,1009,10
"35",2,43,1973,21
"36",2,44,2694,27
"37",2,45,3144,48
"38",2,46,2775,65
"39",2,47,2465,68
"40",2,48,1621,46
"41",2,49,2235,76
"42",2,50,2626,102
"43",2,51,3080,94
"44",2,52,2740,95
"45",2,53,2593,101
"46",2,54,2907,90
"47",2,55,2066,71
"48",2,56,1852,51
"49",2,57,1561,53
"50",2,58,1332,22
"51",2,59,1269,31
"52",2,60,1352,38
"53",2,61,1528,18
"54",2,62,1514,18
"55",2,63,1734,22
"56",2,64,2196,20
"57",2,65,2866,26
"58",2,66,2910,23
"59",2,67,2684,18
"60",2,68,2600,28
"61",2,69,2167,21
"62",2,70,1907,12
"63",2,71,1560,7
"64",2,72,946,2
"65",2,73,708,4
"66",2,74,422,6
"67",2,75,390,2
"68",2,76,285,0
"69",2,77,229,0
"70",2,78,191,1
"71",2,79,177,0
"72",2,80,214,0
"73",2,81,315,2
"74",2,82,581,0
"75",2,83,672,2
"76",2,84,1188,2
"77",2,85,966,1
