"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",13,10,7,0
"2",13,11,33,0
"3",13,12,151,0
"4",13,13,172,5
"5",13,14,163,8
"6",13,15,90,4
"7",13,16,37,2
"8",13,17,21,1
"9",13,18,28,0
"10",13,19,27,0
"11",13,20,20,0
"12",13,21,10,0
"13",13,22,3,0
"14",13,23,13,0
"15",13,24,9,0
"16",13,25,10,0
"17",13,26,9,0
"18",13,27,3,0
"19",13,29,6,0
"20",13,30,35,0
"21",13,31,40,1
"22",13,32,56,0
"23",13,33,32,0
"24",13,34,23,0
"25",13,35,13,0
"26",13,36,22,0
"27",13,37,34,0
"28",13,38,49,0
"29",13,39,52,0
"30",13,40,129,0
"31",13,41,143,0
"32",13,42,280,1
"33",13,43,461,6
"34",13,44,754,7
"35",13,45,821,10
"36",13,46,684,16
"37",13,47,752,8
"38",13,48,775,18
"39",13,49,817,33
"40",13,50,1453,35
"41",13,51,1572,39
"42",13,52,1278,40
"43",13,53,1508,81
"44",13,54,2182,78
"45",13,55,1966,114
"46",13,56,1728,90
"47",13,57,1456,84
"48",13,58,1356,66
"49",13,59,1058,42
"50",13,60,1149,43
"51",13,61,1122,24
"52",13,62,1122,32
"53",13,63,1111,35
"54",13,64,1339,35
"55",13,65,1931,34
"56",13,66,1745,29
"57",13,67,2066,27
"58",13,68,2461,38
"59",13,69,2264,31
"60",13,70,1956,20
"61",13,71,1419,22
"62",13,72,943,11
"63",13,73,641,6
"64",13,74,238,3
"65",13,75,139,2
"66",13,76,81,1
"67",13,77,35,1
"68",13,78,36,0
"69",13,79,21,0
"70",13,80,27,0
"71",13,81,55,0
"72",13,82,84,0
"73",13,83,134,0
"74",13,84,282,1
"75",13,85,313,0
