"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",3,9,1,0
"2",3,10,37,0
"3",3,11,414,3
"4",3,12,1405,19
"5",3,13,2220,117
"6",3,14,2122,139
"7",3,15,1787,125
"8",3,16,1149,90
"9",3,17,826,52
"10",3,18,434,32
"11",3,19,469,24
"12",3,20,289,14
"13",3,21,417,14
"14",3,22,452,7
"15",3,23,504,3
"16",3,24,363,6
"17",3,25,369,8
"18",3,26,244,3
"19",3,27,180,4
"20",3,28,91,2
"21",3,29,236,2
"22",3,30,247,1
"23",3,31,339,2
"24",3,32,434,1
"25",3,33,507,3
"26",3,34,663,4
"27",3,35,635,3
"28",3,36,549,1
"29",3,37,684,9
"30",3,38,1039,9
"31",3,39,1011,14
"32",3,40,1324,10
"33",3,41,1993,20
"34",3,42,3039,28
"35",3,43,4781,72
"36",3,44,7806,120
"37",3,45,8766,101
"38",3,46,8531,155
"39",3,47,8458,199
"40",3,48,7030,151
"41",3,49,6592,155
"42",3,50,7967,231
"43",3,51,9321,293
"44",3,52,7972,281
"45",3,53,7660,306
"46",3,54,9900,372
"47",3,55,8346,344
"48",3,56,7198,318
"49",3,57,6306,293
"50",3,58,5723,231
"51",3,59,5479,196
"52",3,60,5511,132
"53",3,61,5584,125
"54",3,62,5260,82
"55",3,63,6435,76
"56",3,64,7869,88
"57",3,65,9832,113
"58",3,66,8570,108
"59",3,67,8679,96
"60",3,68,10311,106
"61",3,69,10063,84
"62",3,70,8234,60
"63",3,71,6951,56
"64",3,72,4865,39
"65",3,73,3684,38
"66",3,74,1904,17
"67",3,75,1385,2
"68",3,76,790,4
"69",3,77,397,1
"70",3,78,257,1
"71",3,79,320,0
"72",3,80,488,1
"73",3,81,875,3
"74",3,82,1323,1
"75",3,83,1427,3
"76",3,84,1525,3
"77",3,85,1608,0
