"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",5,9,93,0
"2",5,10,394,5
"3",5,11,1753,26
"4",5,12,5376,122
"5",5,13,6229,250
"6",5,14,6434,416
"7",5,15,5425,368
"8",5,16,3648,234
"9",5,17,2571,117
"10",5,18,1619,66
"11",5,19,1560,44
"12",5,20,1313,28
"13",5,21,863,16
"14",5,22,762,15
"15",5,23,637,9
"16",5,24,690,10
"17",5,25,2149,13
"18",5,26,1514,7
"19",5,27,1105,8
"20",5,28,926,12
"21",5,29,1140,11
"22",5,30,1469,12
"23",5,31,1904,17
"24",5,32,2427,21
"25",5,33,2878,16
"26",5,34,2293,14
"27",5,35,1735,5
"28",5,36,1699,14
"29",5,37,2004,19
"30",5,38,2956,21
"31",5,39,3549,24
"32",5,40,4389,30
"33",5,41,7233,65
"34",5,42,11089,115
"35",5,43,20551,260
"36",5,44,29495,366
"37",5,45,31440,394
"38",5,46,31005,518
"39",5,47,29731,582
"40",5,48,27519,643
"41",5,49,26168,775
"42",5,50,31498,1041
"43",5,51,34505,1161
"44",5,52,26864,925
"45",5,53,21840,909
"46",5,54,27262,964
"47",5,55,22055,838
"48",5,56,18951,691
"49",5,57,15579,552
"50",5,58,13049,409
"51",5,59,10169,355
"52",5,60,11125,296
"53",5,61,11665,253
"54",5,62,11988,195
"55",5,63,14828,204
"56",5,64,19501,222
"57",5,65,24033,290
"58",5,66,22769,304
"59",5,67,24626,347
"60",5,68,32104,382
"61",5,69,34291,397
"62",5,70,28970,298
"63",5,71,23412,223
"64",5,72,16435,146
"65",5,73,11897,78
"66",5,74,7342,52
"67",5,75,5037,30
"68",5,76,3249,21
"69",5,77,1661,7
"70",5,78,1068,7
"71",5,79,1047,5
"72",5,80,1348,10
"73",5,81,2310,3
"74",5,82,3240,6
"75",5,83,4599,5
"76",5,84,6528,4
"77",5,85,7661,1
