"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",7,9,2,0
"2",7,10,13,0
"3",7,11,321,1
"4",7,12,1022,14
"5",7,13,1363,32
"6",7,14,1244,51
"7",7,15,919,60
"8",7,16,650,37
"9",7,17,359,22
"10",7,18,239,11
"11",7,19,194,8
"12",7,20,171,2
"13",7,21,97,0
"14",7,22,109,1
"15",7,23,84,2
"16",7,24,54,0
"17",7,25,73,2
"18",7,26,75,0
"19",7,27,95,0
"20",7,28,99,1
"21",7,29,142,2
"22",7,30,105,1
"23",7,31,121,0
"24",7,32,285,1
"25",7,33,361,2
"26",7,34,481,3
"27",7,35,411,1
"28",7,36,308,4
"29",7,37,382,3
"30",7,38,368,4
"31",7,39,459,4
"32",7,40,591,2
"33",7,41,1010,16
"34",7,42,1681,15
"35",7,43,3035,36
"36",7,44,4600,50
"37",7,45,5388,74
"38",7,46,6105,144
"39",7,47,5764,158
"40",7,48,5147,196
"41",7,49,5841,233
"42",7,50,6885,254
"43",7,51,7397,330
"44",7,52,5469,226
"45",7,53,5135,266
"46",7,54,5868,300
"47",7,55,4738,260
"48",7,56,4299,215
"49",7,57,3509,133
"50",7,58,2679,73
"51",7,59,2119,51
"52",7,60,2248,34
"53",7,61,2109,27
"54",7,62,2037,32
"55",7,63,2495,40
"56",7,64,3410,49
"57",7,65,4652,50
"58",7,66,4669,51
"59",7,67,4781,68
"60",7,68,5965,63
"61",7,69,6084,57
"62",7,70,5280,38
"63",7,71,4166,40
"64",7,72,3271,22
"65",7,73,2324,12
"66",7,74,1364,9
"67",7,75,1046,7
"68",7,76,720,3
"69",7,77,400,1
"70",7,78,231,1
"71",7,79,228,4
"72",7,80,303,3
"73",7,81,488,0
"74",7,82,716,1
"75",7,83,806,1
"76",7,84,865,1
"77",7,85,1013,1
