"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",10,9,2,0
"2",10,10,1,0
"3",10,11,76,0
"4",10,12,254,5
"5",10,13,415,23
"6",10,14,769,59
"7",10,15,569,37
"8",10,16,210,18
"9",10,17,170,18
"10",10,18,84,4
"11",10,19,40,4
"12",10,20,32,2
"13",10,21,20,1
"14",10,22,22,3
"15",10,23,23,1
"16",10,24,23,0
"17",10,25,7,0
"18",10,26,7,1
"19",10,27,3,0
"20",10,28,13,0
"21",10,29,16,0
"22",10,30,24,0
"23",10,31,33,0
"24",10,32,38,0
"25",10,33,74,0
"26",10,34,73,1
"27",10,35,72,0
"28",10,36,44,0
"29",10,37,43,1
"30",10,38,63,0
"31",10,39,63,2
"32",10,40,145,1
"33",10,41,300,0
"34",10,42,673,5
"35",10,43,1075,17
"36",10,44,1656,27
"37",10,45,1627,28
"38",10,46,1579,24
"39",10,47,1255,33
"40",10,48,1229,39
"41",10,49,1366,38
"42",10,50,1926,69
"43",10,51,1746,61
"44",10,52,1520,70
"45",10,53,967,47
"46",10,54,1957,73
"47",10,55,1072,44
"48",10,56,1138,54
"49",10,57,1243,36
"50",10,58,1125,45
"51",10,59,712,13
"52",10,60,603,13
"53",10,61,725,14
"54",10,62,585,8
"55",10,63,580,4
"56",10,64,660,5
"57",10,65,795,5
"58",10,66,882,6
"59",10,67,1174,14
"60",10,68,1276,11
"61",10,69,1423,14
"62",10,70,1417,11
"63",10,71,1069,5
"64",10,72,870,10
"65",10,73,777,2
"66",10,74,342,1
"67",10,75,299,0
"68",10,76,204,0
"69",10,77,119,0
"70",10,78,70,0
"71",10,79,64,1
"72",10,80,76,1
"73",10,81,90,0
"74",10,82,224,1
"75",10,83,217,0
"76",10,84,333,0
"77",10,85,296,0
