"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",15,11,46,1
"2",15,12,227,4
"3",15,13,376,16
"4",15,14,327,12
"5",15,15,224,8
"6",15,16,180,5
"7",15,17,134,9
"8",15,18,67,2
"9",15,19,60,4
"10",15,20,34,0
"11",15,21,15,1
"12",15,22,13,0
"13",15,23,13,0
"14",15,24,50,2
"15",15,25,80,0
"16",15,26,22,0
"17",15,27,22,0
"18",15,28,25,0
"19",15,29,37,1
"20",15,30,36,1
"21",15,31,40,0
"22",15,32,35,0
"23",15,33,59,1
"24",15,34,62,0
"25",15,35,57,1
"26",15,36,44,0
"27",15,37,71,1
"28",15,38,100,1
"29",15,39,157,1
"30",15,40,159,0
"31",15,41,192,1
"32",15,42,358,3
"33",15,43,846,15
"34",15,44,1291,17
"35",15,45,1416,24
"36",15,46,1504,28
"37",15,47,1843,57
"38",15,48,2357,53
"39",15,49,2751,112
"40",15,50,3689,165
"41",15,51,4818,176
"42",15,52,4520,223
"43",15,53,4583,281
"44",15,54,5629,244
"45",15,55,5478,306
"46",15,56,4629,265
"47",15,57,3650,225
"48",15,58,2633,177
"49",15,59,1815,107
"50",15,60,2030,88
"51",15,61,2137,89
"52",15,62,1985,63
"53",15,63,2450,53
"54",15,64,2822,62
"55",15,65,3817,81
"56",15,66,3640,87
"57",15,67,4039,85
"58",15,68,4353,78
"59",15,69,4263,77
"60",15,70,3613,49
"61",15,71,2843,40
"62",15,72,1933,31
"63",15,73,1208,14
"64",15,74,629,13
"65",15,75,426,5
"66",15,76,156,0
"67",15,77,76,1
"68",15,78,27,0
"69",15,79,24,0
"70",15,80,32,1
"71",15,81,73,0
"72",15,82,65,0
"73",15,83,145,3
"74",15,84,170,0
"75",15,85,186,0
