"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",14,10,10,0
"2",14,11,172,2
"3",14,12,742,5
"4",14,13,1058,32
"5",14,14,1194,80
"6",14,15,783,43
"7",14,16,387,23
"8",14,17,253,15
"9",14,18,185,10
"10",14,19,215,5
"11",14,20,159,9
"12",14,21,107,4
"13",14,22,71,3
"14",14,23,28,1
"15",14,24,19,0
"16",14,25,79,0
"17",14,26,24,0
"18",14,27,14,0
"19",14,28,17,0
"20",14,29,18,0
"21",14,30,31,0
"22",14,31,32,0
"23",14,32,107,1
"24",14,33,89,0
"25",14,34,97,0
"26",14,35,140,0
"27",14,36,201,0
"28",14,37,284,1
"29",14,38,375,14
"30",14,39,414,8
"31",14,40,450,10
"32",14,41,1128,14
"33",14,42,2089,60
"34",14,43,3600,128
"35",14,44,6197,194
"36",14,45,7819,241
"37",14,46,7942,270
"38",14,47,9256,411
"39",14,48,11680,499
"40",14,49,14362,708
"41",14,50,17819,798
"42",14,51,20523,896
"43",14,52,17434,888
"44",14,53,14237,744
"45",14,54,15575,700
"46",14,55,10587,524
"47",14,56,7311,372
"48",14,57,5322,265
"49",14,58,4236,167
"50",14,59,2980,136
"51",14,60,3282,122
"52",14,61,3656,91
"53",14,62,3792,103
"54",14,63,4910,117
"55",14,64,6903,151
"56",14,65,8796,175
"57",14,66,8247,137
"58",14,67,8983,177
"59",14,68,10098,155
"60",14,69,10071,157
"61",14,70,9376,162
"62",14,71,7748,116
"63",14,72,4918,90
"64",14,73,3446,57
"65",14,74,1810,32
"66",14,75,1076,16
"67",14,76,504,5
"68",14,77,226,4
"69",14,78,148,0
"70",14,79,94,0
"71",14,80,102,0
"72",14,81,167,0
"73",14,82,204,0
"74",14,83,286,0
"75",14,84,360,0
"76",14,85,420,0
