"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",1,9,2,0
"2",1,10,7,0
"3",1,11,119,1
"4",1,12,345,13
"5",1,13,618,20
"6",1,14,613,32
"7",1,15,445,30
"8",1,16,283,25
"9",1,17,203,18
"10",1,18,145,6
"11",1,19,176,3
"12",1,20,48,1
"13",1,21,64,2
"14",1,22,34,2
"15",1,23,11,0
"16",1,24,10,1
"17",1,25,17,0
"18",1,26,16,1
"19",1,27,38,0
"20",1,28,23,1
"21",1,29,52,2
"22",1,30,66,1
"23",1,31,153,2
"24",1,32,119,1
"25",1,33,201,1
"26",1,34,113,0
"27",1,35,121,0
"28",1,36,99,0
"29",1,37,109,0
"30",1,38,203,0
"31",1,39,250,2
"32",1,40,252,1
"33",1,41,311,0
"34",1,42,462,9
"35",1,43,1091,20
"36",1,44,1652,30
"37",1,45,1531,20
"38",1,46,1543,14
"39",1,47,1363,11
"40",1,48,1345,18
"41",1,49,1493,39
"42",1,50,2336,65
"43",1,51,2876,92
"44",1,52,2439,112
"45",1,53,2253,145
"46",1,54,2876,117
"47",1,55,2526,126
"48",1,56,2733,140
"49",1,57,2331,127
"50",1,58,1780,58
"51",1,59,1668,58
"52",1,60,1470,35
"53",1,61,1440,33
"54",1,62,1309,25
"55",1,63,1493,17
"56",1,64,1732,17
"57",1,65,1997,15
"58",1,66,2004,22
"59",1,67,2105,12
"60",1,68,2129,20
"61",1,69,2144,17
"62",1,70,1684,16
"63",1,71,1511,12
"64",1,72,1031,12
"65",1,73,883,6
"66",1,74,531,2
"67",1,75,357,2
"68",1,76,254,1
"69",1,77,132,1
"70",1,78,95,2
"71",1,79,107,0
"72",1,80,118,0
"73",1,81,252,1
"74",1,82,435,2
"75",1,83,698,3
"76",1,84,1256,1
"77",1,85,1142,0
