"","BL","Kw","AnzahlFall","AnzahlTodesfall"
"1",16,10,2,0
"2",16,11,50,0
"3",16,12,281,3
"4",16,13,438,16
"5",16,14,413,25
"6",16,15,318,36
"7",16,16,286,24
"8",16,17,326,23
"9",16,18,244,27
"10",16,19,229,15
"11",16,20,155,8
"12",16,21,129,5
"13",16,22,149,9
"14",16,23,74,2
"15",16,24,83,1
"16",16,25,42,0
"17",16,26,19,1
"18",16,27,22,0
"19",16,28,22,1
"20",16,29,29,0
"21",16,30,25,0
"22",16,31,29,2
"23",16,32,52,0
"24",16,33,71,0
"25",16,34,57,0
"26",16,35,72,1
"27",16,36,68,1
"28",16,37,111,1
"29",16,38,138,1
"30",16,39,113,2
"31",16,40,154,1
"32",16,41,240,4
"33",16,42,494,6
"34",16,43,980,21
"35",16,44,1370,33
"36",16,45,1757,44
"37",16,46,2019,68
"38",16,47,2878,125
"39",16,48,3211,114
"40",16,49,3968,168
"41",16,50,5326,245
"42",16,51,6525,302
"43",16,52,6299,319
"44",16,53,5504,306
"45",16,54,6894,295
"46",16,55,6013,259
"47",16,56,4423,223
"48",16,57,3463,158
"49",16,58,3062,127
"50",16,59,2236,104
"51",16,60,2747,130
"52",16,61,2765,80
"53",16,62,2959,78
"54",16,63,3653,87
"55",16,64,4543,111
"56",16,65,5203,108
"57",16,66,4987,137
"58",16,67,4946,97
"59",16,68,5373,110
"60",16,69,5041,95
"61",16,70,4719,61
"62",16,71,3940,72
"63",16,72,2707,40
"64",16,73,2105,29
"65",16,74,1006,13
"66",16,75,628,8
"67",16,76,337,1
"68",16,77,160,0
"69",16,78,80,2
"70",16,79,83,0
"71",16,80,53,0
"72",16,81,89,1
"73",16,82,131,1
"74",16,83,126,2
"75",16,84,145,0
"76",16,85,150,0
