"","Kw","AnzahlFall","AnzahlTodesfall"
"1",11,2,0
"2",12,11,0
"3",13,5,0
"4",14,4,0
"5",15,3,0
"6",16,8,0
"7",17,5,0
"8",20,1,0
"9",21,2,0
"10",22,1,0
"11",25,1,0
"12",26,4,0
"13",28,3,0
"14",29,1,0
"15",30,1,0
"16",31,3,0
"17",32,18,0
"18",33,6,0
"19",34,2,0
"20",35,4,0
"21",36,7,0
"22",37,7,0
"23",38,10,0
"24",39,18,0
"25",40,12,0
"26",41,46,0
"27",42,57,0
"28",43,131,0
"29",44,147,0
"30",45,169,1
"31",46,275,1
"32",47,176,0
"33",48,110,1
"34",49,166,2
"35",50,137,0
"36",51,119,0
"37",52,109,0
"38",53,85,1
"39",54,61,0
"40",55,63,1
"41",56,36,0
"42",57,26,1
"43",58,27,0
"44",59,11,0
"45",60,11,0
"46",61,21,0
"47",62,16,0
"48",63,10,0
"49",64,46,0
"50",65,80,0
"51",66,54,0
"52",67,65,0
"53",68,52,0
"54",69,98,1
"55",70,68,0
"56",71,48,0
"57",72,31,0
"58",73,10,0
"59",74,9,0
"60",75,8,0
"61",76,5,0
"62",77,2,0
"63",78,1,0
"64",81,4,0
"65",82,6,0
"66",83,7,0
"67",84,9,0
"68",85,19,0
